"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","post ticket teste Preço fora do intervalo permitido menor que 0","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\post.spec.js","",""
"","46","post ticket teste Número de assento inválido menor que 0","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","tickets\post.spec.js","",""
"","120","get all teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","movies\get.spec.js","",""
"","54","post ticket teste Número de assento inválido menor que 0","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\post.spec.js","",""
"","82","post teste título duplicado","firefox","Sun Dec 01 20:20:51 BRT 2024","failed","Sun Dec 01 20:20:51 BRT 2024","","movies\post.spec.js","",""
"","115","delete teste inexistente","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","movies\delete.spec.js","",""
"","31","post ticket teste Número de assento inválido maior que 99","chromium","Sun Dec 01 20:21:30 BRT 2024","passed","Sun Dec 01 20:21:30 BRT 2024","","tickets\post.spec.js","",""
"","57","post ticket teste","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","tickets\post.spec.js","",""
"","32","post ticket teste Preço fora do intervalo permitido menor que 0","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","tickets\post.spec.js","",""
"","210","post teste","firefox","Sun Dec 01 20:20:51 BRT 2024","failed","Sun Dec 01 20:20:51 BRT 2024","","movies\post.spec.js","",""
"","67","get teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\get.spec.js","",""
"","50","post ticket teste Preço fora do intervalo permitido menor que 0","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","tickets\post.spec.js","",""
"","141","get teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","movies\get.spec.js","",""
"","36","post ticket teste Omissão de campos obrigatórios","webkit","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\post.spec.js","",""
"","138","put teste","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","movies\put.spec.js","",""
"","186","delete teste","chromium","Sun Dec 01 20:21:29 BRT 2024","failed","Sun Dec 01 20:21:29 BRT 2024","","movies\delete.spec.js","",""
"","131","get teste","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","movies\get.spec.js","",""
